agency_id,division_id,department_id,unit_id,long_name,short_name,active
CDA,5680,5680,5680,CALIFORNIA COMMUNITY DEVELOPMENT AUTHORITY,CA COM DEV AUTH,true
CED,5681,5681,5681,CALIFORNIA ENTERPRISE DEVELOPMENT AUTHORITY,CA ENT DEV AUTH,true
CEO,1010,1011,1011,CEO COMMUNITY DEVELOPMENT,CEO COMM DEV,true
CEO,1010,1012,1012,CEO BUDGET AND FINANCE,CEO BUDGET FIN,true
CEO,1010,1013,1013,CEO COUNTY GOVERNMENT,CEO CNTY GOVT,true
CEO,1010,1014,1014,CEO DEPARTMENT ADMINISTRATION,CEO DEPT ADMIN,true
CEO,1010,1015,1015,CLERK OF THE BOARD OF SUPERVISORS,CLERK OF BOARD,true
CEO,1010,1016,1016,CEO HUMAN RESOURCES,CEO HR,true
CEO,1010,1017,1017,CEO HR HEALTH CARE AGENCY,CEO HR HCA,true
CEO,1010,1018,1018,SUPPLEMENTAL RETIREMENT PLAN,SPMTL RETRE PLN,true
CEO,1010,1019,1019,INDUSTRIAL RELATIONS,INDUSTL RELATNS,true
CEO,1010,1020,1020,DISABILITY MANAGEMENT,DISABILITY MGNT,true
CEO,1010,1021,1021,CEO SUSTAINABILITY,CEO SUSTAIN,true
CEO,1010,1022,1022,CEO HR PROBATION,CEO HR PROBAT,true
CEO,1010,1023,1023,CEO HR FIRE PROTECTION DISTRICT,CEO HR FPD,true
CEO,1010,1023,1024,CEO HR INFORMATION TECHNOLOGY SERVICES,CEO HR ITS,true
CEO,1010,1025,1025,CEO HR HUMAN SERVICES AGENCY,CEO HR HSA,true
CEO,1030,1031,1031,HOUSING AND COMMUNITY PROGRAMS,HOUSING COM PRG,true
CEO,1030,1032,1032,EMPOWER,EMPOWER,true
CEO,1030,1033,1033,BOARD OF STATE COMMUNITY CORRECTIONS PAY FOR SUCCESS GRANT,BSCC PFS GRANT,true
CEO,1030,1034,1034,CEO OTHER GRANTS,CEO OTHER GRANT,true
CEO,1030,1035,1035,VENTURA LAND TRUST GRANT,VLT GRANT,true
CEO,1030,1036,1036,AFFORDABLE HOUSING FUND GRANTS,AFFORD HOUSING,true
CEO,1030,1037,1037,HOMEKEY PLUS PROGRAM,HOMEKEY PLUS,true
CEO,1050,1050,1050,SPECIAL ACCOUNTS AND CONTRIBUTIONS,SPL ACCT & CNTB,true
CEO,1060,1060,1060,CAPITAL PROJECTS,CAP PROJECTS,true
CEO,1070,1070,1070,GENERAL PURPOSE INDIRECT REVENUE,INDIRECT REV,true
CEO,1080,1080,1080,DEBT SERVICE,DEBT SERVICE,true
CEO,1085,1085,1085,CANNABIS BUSINESS LICENSE PROGRAM,CB BUS LIC PROG,true
CEO,1090,1091,1091,TSP ADMINISTRATION,TSP ADMIN,true
CEO,1100,1100,1100,GENERAL FUND CONTINGENCY,GF CONTINGENCY,true
CEO,1110,1111,1111,LOCAL COURTS SUPPORT,LOC COURTS SPT,true
CEO,1110,1113,1113,FACILITIES,FACILITIES,true
CEO,1110,1115,1115,MAINTENANCE OF EFFORT,MOE,true
CEO,1110,1117,1117,COLLECTIONS ENHANCEMENT,COLLECT ENHANCE,true
CEO,1170,1170,1170,CO SUCCESSOR HOUSING AG ABX126,HOUSING AGCY,true
CEO,1180,1181,1181,WORKFORCE INVESTMENT BOARD ADMINISTRATION,WIB ADMIN,true
CEO,1180,1182,1182,WORKFORCE INVESTMENT ACT PROGRAM OPERATION,WIB PRGM OPS,true
